ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_ERR1600428,ERZ1739914,PRJEB41812,ERS1324488,ERZ1739914.1-ERZ1739914.4,,
UC_ERR2014383,ERZ1739915,PRJEB41812,ERS1796508,ERZ1739915.1-ERZ1739915.239,,
UC_ERR695612,ERZ1739916,PRJEB41812,ERS625320,ERZ1739916.1-ERZ1739916.857,,
UC_ERR634979,ERZ1739917,PRJEB41812,ERS482859,ERZ1739917.1-ERZ1739917.572,,
UC_ERR1297832,ERZ1739918,PRJEB41812,ERS1069672,ERZ1739918.1-ERZ1739918.379,,
UC_ERR2271236,ERZ1739919,PRJEB41812,ERS2161189,ERZ1739919.1-ERZ1739919.277,,
UC_ERR505084,ERZ1739920,PRJEB41812,ERS433543,ERZ1739920.1-ERZ1739920.7740,,
UC_ERR719428,ERZ1739921,PRJEB41812,ERS634944,ERZ1739921.1-ERZ1739921.674,,
UC_ERR1297834,ERZ1739922,PRJEB41812,ERS1069666,ERZ1739922.1-ERZ1739922.749,,
UC_SRR2037085,ERZ1739923,PRJEB41812,SRS943645,ERZ1739923.1-ERZ1739923.7203,,
UC_ERR1913257,ERZ1739924,PRJEB41812,ERS1647295,ERZ1739924.1-ERZ1739924.9,,
UC_ERR1659111,ERZ1739925,PRJEB41812,ERS1240060,ERZ1739925.1-ERZ1739925.474,,
UC_ERR1913316,ERZ1739926,PRJEB41812,ERS1647287,ERZ1739926.1-ERZ1739926.4,,
UC_ERR1474577,ERZ1739927,PRJEB41812,ERS1202875,ERZ1739927.1-ERZ1739927.3090,,
UC_ERR1297783,ERZ1739928,PRJEB41812,ERS1069659,ERZ1739928.1-ERZ1739928.576,,
UC_ERR1600432,ERZ1739929,PRJEB41812,ERS1324492,ERZ1739929.1-ERZ1739929.3,,
UC_ERR2270938,ERZ1739930,PRJEB41812,ERS2160328,ERZ1739930.1-ERZ1739930.104,,
UC_ERR719887,ERZ1739931,PRJEB41812,ERS634976,ERZ1739931.1-ERZ1739931.272,,
UC_ERR2014381,ERZ1739932,PRJEB41812,ERS1796506,ERZ1739932.1-ERZ1739932.16,,
UC_ERR505101,ERZ1739933,PRJEB41812,ERS433560,ERZ1739933.1-ERZ1739933.1485,,
UC_SRR2034639,ERZ1739934,PRJEB41812,SRS942320,ERZ1739934.1-ERZ1739934.1661,,
UC_ERR1823599,ERZ1739935,PRJEB41812,ERS1546043,ERZ1739935.1-ERZ1739935.1848,,
UC_SRR1044017,ERZ1739936,PRJEB41812,SRS511708,ERZ1739936.1-ERZ1739936.615,,
UC_ERR719455,ERZ1739937,PRJEB41812,ERS634968,ERZ1739937.1-ERZ1739937.1014,,
UC_ERR1297797,ERZ1739938,PRJEB41812,ERS1069637,ERZ1739938.1-ERZ1739938.1560,,
UC_ERR1297842,ERZ1739939,PRJEB41812,ERS1069677,ERZ1739939.1-ERZ1739939.293,,
UC_ERR1913258,ERZ1739940,PRJEB41812,ERS1647295,ERZ1739940.1-ERZ1739940.9,,
UC_ERR695610,ERZ1739941,PRJEB41812,ERS625318,ERZ1739941.1-ERZ1739941.2835,,
UC_ERR1913283,ERZ1739942,PRJEB41812,ERS1647280,ERZ1739942.1-ERZ1739942.6,,
UC_ERR1297835,ERZ1739943,PRJEB41812,ERS1069685,ERZ1739943.1-ERZ1739943.767,,
